Event#, Q2, W, MX, xF1, xF2, y, x, z, Mh, phperp, phiH, phiR, theta
275793, 1.96, 3.23, 1.90, 0.31, 0.31, 0.58, 0.17, 0.61, 0.47, 0.70, 4.42, 1.56, 1.30
276556, 2.56, 3.00, 1.50, 0.12, 0.12, 0.54, 0.24, 0.60, 1.13, 0.67, 6.02, 4.16, 1.59
277074, 7.78, 2.58, 1.74, 0.12, 0.12, 0.68, 0.57, 0.51, 0.65, 0.11, 5.67, 0.94, 1.71
277176, 1.82, 2.92, 1.50, 0.02, 0.02, 0.48, 0.19, 0.62, 1.17, 0.54, 3.83, 5.12, 1.61
278836, 2.19, 3.48, 2.07, 0.29, 0.29, 0.68, 0.16, 0.57, 0.47, 0.81, 2.46, 0.29, 1.15
279306, 1.76, 2.87, 1.61, 0.34, 0.34, 0.46, 0.19, 0.74, 0.60, 0.17, 3.40, 4.88, 1.43
280449, 1.71, 3.38, 1.53, 0.13, 0.13, 0.62, 0.14, 0.74, 0.81, 0.84, 3.42, 4.55, 1.85
280778, 3.92, 3.15, 1.71, 0.10, 0.10, 0.65, 0.30, 0.50, 0.78, 0.89, 4.66, 0.41, 1.74
281892, 3.57, 3.25, 1.89, 0.40, 0.40, 0.67, 0.27, 0.63, 0.77, 0.54, 3.08, 6.16, 1.10
282374, 2.63, 2.81, 1.51, 0.19, 0.19, 0.49, 0.27, 0.70, 0.73, 0.48, 2.32, 4.56, 1.83
282374, 2.63, 2.81, 1.53, 0.13, 0.13, 0.49, 0.27, 0.69, 0.93, 0.36, 1.10, 5.35, 1.86
284154, 4.08, 3.40, 1.98, 0.06, 0.06, 0.74, 0.28, 0.57, 1.14, 0.48, 2.71, 1.00, 1.83
285877, 2.55, 3.63, 2.58, 0.18, 0.18, 0.75, 0.17, 0.47, 0.39, 0.51, 3.11, 5.81, 1.73
291142, 2.69, 3.54, 2.44, 0.16, 0.16, 0.72, 0.19, 0.45, 0.93, 0.28, 2.13, 5.18, 1.62
291743, 1.76, 3.70, 2.37, 0.16, 0.16, 0.73, 0.12, 0.54, 1.07, 0.23, 1.77, 3.88, 1.65
291743, 1.76, 3.70, 2.47, 0.14, 0.14, 0.73, 0.12, 0.49, 0.82, 0.50, 0.33, 4.50, 1.75
293515, 3.25, 3.38, 2.25, 0.17, 0.17, 0.69, 0.24, 0.48, 0.60, 0.62, 3.58, 0.11, 1.80
297900, 2.82, 3.45, 2.32, 0.03, 0.03, 0.70, 0.20, 0.46, 0.98, 0.32, 3.87, 4.67, 1.66
298479, 1.59, 3.60, 1.87, 0.38, 0.38, 0.69, 0.12, 0.70, 0.35, 0.80, 3.14, 5.35, 1.05
298917, 4.30, 2.90, 1.92, 0.09, 0.09, 0.60, 0.36, 0.44, 0.49, 0.65, 2.65, 4.02, 1.50
301529, 3.78, 2.86, 1.75, 0.31, 0.31, 0.56, 0.34, 0.61, 0.58, 0.46, 1.47, 5.63, 1.31
301938, 2.41, 3.57, 1.94, 0.12, 0.12, 0.72, 0.17, 0.71, 0.99, 0.19, 3.20, 6.12, 2.03
303460, 1.58, 3.40, 2.17, 0.34, 0.34, 0.62, 0.13, 0.60, 0.51, 0.36, 2.98, 0.75, 1.23
307877, 1.61, 3.28, 1.84, 0.13, 0.13, 0.58, 0.14, 0.56, 0.72, 0.86, 2.90, 4.57, 1.63
310478, 1.61, 2.96, 1.59, 0.13, 0.13, 0.48, 0.17, 0.68, 1.12, 0.33, 6.27, 1.57, 1.66
311852, 2.00, 3.59, 2.39, 0.30, 0.30, 0.71, 0.14, 0.50, 0.85, 0.46, 6.22, 2.85, 1.22
312360, 1.92, 3.73, 1.73, 0.19, 0.19, 0.75, 0.13, 0.81, 0.73, 0.43, 3.99, 5.63, 2.01
313537, 1.91, 3.33, 1.75, 0.19, 0.19, 0.61, 0.16, 0.72, 0.66, 0.57, 3.96, 1.78, 1.96
314269, 2.19, 3.13, 1.91, 0.20, 0.20, 0.56, 0.20, 0.57, 0.73, 0.55, 1.84, 6.16, 1.58
315445, 2.45, 3.34, 2.09, 0.18, 0.18, 0.64, 0.19, 0.53, 1.06, 0.32, 4.21, 1.92, 1.54
316413, 1.41, 3.75, 1.77, 0.32, 0.32, 0.73, 0.10, 0.73, 1.23, 0.66, 1.91, 4.82, 1.57
320736, 2.91, 3.23, 1.81, 0.11, 0.11, 0.62, 0.23, 0.63, 0.52, 0.74, 1.94, 3.32, 2.06
